"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Ces1d",51099.4933465246,0.426621075598364,0.107056006107326,9.88729137989765e-06,0.000193875659257822,"Ces1d","Yes",NA
"Plxna2",1963.74718701354,-0.462606347647695,0.116966031374952,9.92293131441462e-06,0.000194389374721677,"Plxna2","Yes",NA
"Baz1b",5273.53003085374,0.251844873732642,0.0621780620522931,9.9332210955587e-06,0.000194405978266595,"Baz1b","Yes",NA
"Acsm3",2736.37618644196,1.16327456295916,0.321010681085796,1.00776896231277e-05,0.000196859837710526,"Acsm3","Yes",NA
"Eif1",10993.568578243,0.224519338033639,0.0529058565034993,1.00839575085824e-05,0.000196859837710526,"Eif1","Yes",NA
"Eif3h",3255.43279972028,0.207401216540241,0.0483820130034691,1.00872858703485e-05,0.000196859837710526,"Eif3h","Yes",NA
"Tkt",116173.485072627,-0.866704001299989,0.243485800934471,1.01616622448561e-05,0.000198123545416044,"Tkt","Yes",NA
"Fam199x",351.918448054984,-0.297970352300601,0.0720973794431587,1.0192674150698e-05,0.000198512116994758,"Fam199x","Yes",NA
"Ssrp1",2444.69143593589,0.199733856124844,0.0468569896189238,1.02008752139712e-05,0.000198512116994758,"Ssrp1","Yes",NA
"Htra2",761.99696630145,0.239928184350466,0.0565908307293496,1.02965035900254e-05,0.000200183864414573,"Htra2","Yes",NA
"Gm9929",35.0908589147528,0.874740875335597,0.234531033271798,1.03243949222785e-05,0.000200397925931294,"Gm9929","Yes",NA
"Rpl4",12600.859077725,0.232167262903285,0.0549345130357425,1.03269803979359e-05,0.000200397925931294,"Rpl4","Yes",NA
"Ncoa7",433.93130192925,-0.407917319741504,0.102331757853305,1.04135044252663e-05,0.000201886669125997,"Ncoa7","Yes",NA
"Zzef1",2087.05422115808,-0.226478326225994,0.0536230703156906,1.04445422936413e-05,0.000202297912778722,"Zzef1","Yes",NA
"Mtor",3357.91674428664,-0.241558084709444,0.0565165751510781,1.06258636027735e-05,0.000205616452742014,"Mtor","Yes",NA
"Zfp358",644.687487769104,0.287827439267639,0.0685513486668153,1.0636337088386e-05,0.000205625863204487,"Zfp358","Yes",NA
"Sfta3-ps",17.5125127351394,0.948384455549667,0.252892903718252,1.0663864226024e-05,0.000205964634661921,"Sfta3-ps","Yes",NA
