,baseMean,log2FoldChange,lfcSE,pvalue,padj,Genes,Sig,Labl
Itpkb,773.5750295,-0.305178811,0.184280464,0.001880126,0.32036215,Itpkb,No,NA
Ccna2,23.72339941,-0.753036458,0.476920633,0.001926561,0.324991596,Ccna2,No,NA
Ednrb,330.1803999,-0.294682748,0.179449226,0.002000563,0.333386851,Ednrb,No,NA
Fstl1,321.9231259,-0.329132154,0.202947025,0.002035618,0.333386851,Fstl1,No,NA
Gm13703,42.44169809,0.80301193,0.500011448,0.002022878,0.333386851,Gm13703,No,NA
Pdgfra,82.31867365,-0.374844263,0.233706135,0.002093953,0.339643235,Pdgfra,No,NA
Abcc9,475.8258416,-0.341644202,0.217415683,0.00217922,0.346804342,Abcc9,No,NA
Lmo7,162.5446868,-0.357064831,0.2345295,0.002159658,0.346804342,Lmo7,No,NA
Csf2rb,444.4312962,-0.269971069,0.171190928,0.002218955,0.347279622,Csf2rb,No,NA
Eef1a1,101447.8834,0.063430824,0.040519481,0.002239757,0.347279622,Eef1a1,No,NA
Kit,473.9556674,-0.184160426,0.118293534,0.002249044,0.347279622,Kit,No,NA
Ptar1,779.4491901,0.128390273,0.084335027,0.002264554,0.347279622,Ptar1,No,NA
Adam19,114.2739389,-1.48E-05,0.0014427,0.002566988,0.361296463,Adam19,No,NA
Car4,199.494713,-1.94E-05,0.001442703,0.002539345,0.361296463,Car4,No,NA
Gpihbp1,578.4755383,-0.327836473,0.226791356,0.002570133,0.361296463,Gpihbp1,No,NA
Mcf2l,186.865868,-0.349030551,0.235601852,0.002471464,0.361296463,Mcf2l,No,NA
Nova2,44.71454645,-0.429585516,0.283771534,0.002458356,0.361296463,Nova2,No,NA
Robo2,6.334926657,-4.06E-06,0.001442696,0.002460435,0.361296463,Robo2,No,NA
Rpl11,5942.204322,0.106038683,0.072718568,0.002568255,0.361296463,Rpl11,No,NA
Rpl19,6849.089498,0.08807101,0.057275822,0.002509206,0.361296463,Rpl19,No,NA
Rpl4,11871.33378,0.08556582,0.056191983,0.002476463,0.361296463,Rpl4,No,NA
Tirap,283.353772,0.178882296,0.121970777,0.002562001,0.361296463,Tirap,No,NA
9330159F19Rik,547.0675281,-0.396508274,0.290017932,0.002788984,0.362632966,9330159F19Rik,No,NA
AW112010,423.3263682,-0.205436712,0.154923954,0.002615053,0.362632966,AW112010,No,NA
Cd38,86.91242957,-1.83E-05,0.001442701,0.002837605,0.362632966,Cd38,No,NA
Cep85l,1344.271751,-0.160366112,0.113492581,0.002835288,0.362632966,Cep85l,No,NA
Dennd3,86.02311665,-0.360511126,0.259085215,0.002746212,0.362632966,Dennd3,No,NA
Frmd4a,128.2418068,-0.264361408,0.186915224,0.002727459,0.362632966,Frmd4a,No,NA
Gm37125,6.415312068,-6.31E-06,0.001442696,0.002796441,0.362632966,Gm37125,No,NA
Masp2,21.14815919,0.546182415,0.391295056,0.002816256,0.362632966,Masp2,No,NA
Pllp,251.6585266,-0.249910942,0.176103512,0.002755367,0.362632966,Pllp,No,NA
Rpl13a,8719.40693,5.57E-05,0.001442755,0.002748199,0.362632966,Rpl13a,No,NA
Slc2a5,1609.797578,0.254102888,0.173358952,0.002713372,0.362632966,Slc2a5,No,NA
Srcin1,37.94191789,-0.898233759,0.686074394,0.002756603,0.362632966,Srcin1,No,NA
Cdh5,2060.880959,-1.18E-05,0.001442673,0.002942657,0.366435645,Cdh5,No,NA
Foxm1,43.9212321,-0.380775624,0.291305118,0.003047458,0.366435645,Foxm1,No,NA
Gm12905,13.68856709,0.683157814,0.517493591,0.002940032,0.366435645,Gm12905,No,NA
Gtse1,33.86169775,0.564426541,0.447059279,0.003062862,0.366435645,Gtse1,No,NA
Loxl2,150.3481095,-0.274776791,0.212005835,0.003052413,0.366435645,Loxl2,No,NA
Rps10,4731.789875,5.10E-05,0.001442705,0.002980371,0.366435645,Rps10,No,NA
Rps3,8827.553847,0.091901434,0.067808316,0.002972424,0.366435645,Rps3,No,NA
Sez6l,80.38618285,0.812267599,0.589972117,0.003033466,0.366435645,Sez6l,No,NA
Snrk,5374.058111,-3.28E-05,0.001442711,0.003055744,0.366435645,Snrk,No,NA
Rpl3,8906.354272,0.088874713,0.068905696,0.003095204,0.36769721,Rpl3,No,NA
Angpt2,84.57130382,-0.337158029,0.278776043,0.003173149,0.373562259,Angpt2,No,NA
Cd33,13.58637997,-8.37E-06,0.001442696,0.003277445,0.373562259,Cd33,No,NA
Dusp2,66.23865483,-1.72E-05,0.001442699,0.003227224,0.373562259,Dusp2,No,NA
Gm17435,19.54371631,-1.12E-05,0.001442697,0.003260099,0.373562259,Gm17435,No,NA
Gng11,144.597184,-0.350299039,0.286942541,0.003245354,0.373562259,Gng11,No,NA
Ripor3,7.206350833,-5.74E-06,0.001442696,0.0032062,0.373562259,Ripor3,No,NA
Pcdh1,265.868932,-1.46E-05,0.001442698,0.003303393,0.373992878,Pcdh1,No,NA
Knstrn,14.48395602,-7.75E-06,0.001442696,0.003343453,0.376004696,Knstrn,No,NA
