"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Snrpe",290.176078260115,-3.6696444564092e-06,0.00144259398807003,0.706059041579691,0.982414521796907,"Snrpe","No",NA
"Snrpf",260.787968337215,-1.78903254116536e-06,0.00144263866849991,0.692718296426613,0.98147661403051,"Snrpf","No",NA
"Snrpg",240.844614589185,6.63175701657613e-06,0.00144262997786136,0.360049367344843,0.96988964270494,"Snrpg","No",NA
"Snrpn",1061.61470613582,-1.47412348769911e-05,0.00144255609114136,0.191219134106191,0.96988964270494,"Snrpn","No",NA
"Snta1",2048.97448645105,-1.43665666018965e-06,0.00144267046935431,0.729811716637237,0.984375728988241,"Snta1","No",NA
"Sntb1",6094.95048061467,-4.7719944562448e-07,0.00144263242941561,0.942056056000487,0.993453268154031,"Sntb1","No",NA
"Sntb2",796.475998614353,1.17761849973909e-05,0.00144262078083093,0.162167723414914,0.96988964270494,"Sntb2","No",NA
"Sntg1",2.1170006504577,-2.41990360453937e-07,0.00144269383350451,0.776791343017182,NA,"Sntg1",NA,NA
"Sntg2",112.344200085782,5.82588076843553e-06,0.00144268803705856,0.0577480650990828,0.959528224506864,"Sntg2","No",NA
"Snu13",1205.82691452051,8.43468680241076e-06,0.00144254883506585,0.430353205430631,0.970103412211959,"Snu13","No",NA
"Snupn",247.721340912639,-1.79974099470145e-06,0.00144260905989233,0.966799134736501,0.995291996852439,"Snupn","No",NA
"Snw1",1850.87654426834,4.68599981996608e-06,0.00144251944446607,0.680924282142007,0.980168169940833,"Snw1","No",NA
"Snx1",1575.91953573073,-5.25118252532649e-05,0.00144285636445971,0.718883262461035,0.984375728988241,"Snx1","No",NA
"Snx10",2593.18333485527,-7.42845423114826e-06,0.00144257315888087,0.444761624934539,0.970641740612449,"Snx10","No",NA
"Snx11",426.102460218392,-7.13361870837344e-06,0.00144263237866439,0.319723640185751,0.96988964270494,"Snx11","No",NA
"Snx12",1021.44830400625,-1.84782132515446e-05,0.00144253796435126,0.138922501478835,0.965138818756704,"Snx12","No",NA
"Snx13",1670.52075298003,9.2156752401905e-06,0.00144255175086237,0.388230615811303,0.96988964270494,"Snx13","No",NA
"Snx14",1347.49593069112,1.43188305606047e-05,0.00144256947435599,0.241816618378416,0.96988964270494,"Snx14","No",NA
"Snx15",434.603872663087,-8.19214494213512e-06,0.00144246544226791,0.569896300054335,0.975794708309648,"Snx15","No",NA
"Snx16",111.711551267653,9.27118358928645e-06,0.00144266449354666,0.0770295892481205,0.959528224506864,"Snx16","No",NA
"Snx17",2614.46227877034,-1.79186177178094e-05,0.00144226645664564,0.775880018513681,0.989380836054069,"Snx17","No",NA
"Snx18",882.888781172799,4.84148861853431e-06,0.00144254233751762,0.553087619429908,0.975554986324048,"Snx18","No",NA
"Snx19",1655.78962641825,-4.53308029044126e-06,0.00144256548181491,0.642721553424194,0.976757835636459,"Snx19","No",NA
"Snx2",2719.22042771904,-1.19345643371264e-05,0.00144233999300908,0.49054996476523,0.970641740612449,"Snx2","No",NA
"Snx20",8.01128976802437,-6.80282928483429e-07,0.00144269101225449,0.69177276253045,NA,"Snx20",NA,NA
"Snx21",821.037858559544,9.26785939648354e-06,0.00144264981413783,0.159513138277075,0.96988964270494,"Snx21","No",NA
"Snx22",2.88563730946052,-5.80028314320282e-07,0.00144269379203747,0.512191268139579,NA,"Snx22",NA,NA
"Snx24",110.485653485621,4.39835516846471e-06,0.00144266091468975,0.398437984572842,0.96988964270494,"Snx24","No",NA
"Snx25",648.284285247965,2.03688401376867e-05,0.00144263971582417,0.0335743810527263,0.959528224506864,"Snx25","No",NA
"Snx27",1516.3189057342,1.49494913516216e-05,0.00144247058018136,0.278349946439557,0.96988964270494,"Snx27","No",NA
"Snx29",207.771492012513,1.33976365099979e-05,0.00144261633158605,0.112838076669761,0.959528224506864,"Snx29","No",NA
"Snx3",2753.97957799483,-5.59333086682185e-05,0.00144277648906205,0.455866036008889,0.970641740612449,"Snx3","No",NA
"Snx30",401.83528322954,1.31952296670138e-05,0.00144264287465371,0.212708493518793,0.96988964270494,"Snx30","No",NA
